munic;codigo_ibge;latitude;longitude;grafia_correta
São Paulo;3550308;-235.329;-466.395;1
Adamantina;3500105;-21.682;-510.737;1
Adolfo;3500204;-212.325;-496.451;1
Aguaí;3500303;-220.572;-469.735;1
Águas da Prata;3500402;-219.319;-467.176;1
Águas de Lindóia;3500501;-224.733;-466.314;1
Águas de Santa Bárbara;3500550;-228.812;-492.421;1
Águas de São Pedro;3500600;-225.977;-478.734;1
Agudos;3500709;-224.694;-489.863;1
Alambari;3500758;-235.503;-47.898;1
Alfredo Marcondes;3500808;-219.527;-51.414;1
Altair;3500907;-205.242;-490.571;1
Altinópolis;3501004;-210.214;-473.712;1
Alto Alegre;3501103;-215.811;-50.168;1
Alumínio;3501152;-235.306;-472.546;1
Álvares Florence;3501202;-203.203;-499.141;1
Álvares Machado;3501301;-220.764;-514.722;1
Álvaro de Carvalho;3501400;-220.841;-49.719;1
Alvinlândia;3501509;-224.435;-497.623;1
Americana;3501608;-227.374;-473.331;1
Américo Brasiliense;3501707;-217.288;-481.147;1
Américo de Campos;3501806;-202.985;-497.359;1
Amparo;3501905;-227.088;-46.772;1
Analândia;3502002;-221.289;-476.619;1
Andradina;3502101;-208.948;-513.786;1
Angatuba;3502200;-234.917;-484.139;1
Anhembi;3502309;-22.793;-481.336;1
Anhumas;3502408;-222.934;-513.895;1
Aparecida;3502507;-228.495;-452.325;1
Aparecida d'Oeste;3502606;-204.487;-508.835;1
Apiaí;3502705;-245.108;-488.443;1
Araçariguama;3502754;-234.366;-470.608;1
Araçatuba;3502804;-212.076;-504.401;1
Araçoiaba da Serra;3502903;-235.029;-476.166;1
Aramina;3503000;-200.882;-477.873;1
Arandu;3503109;-231.386;-490.487;1
Arapeí;3503158;-226.717;-444.441;1
Araraquara;3503208;-217.845;-48.178;1
Araras;3503307;-223.572;-473.842;1
Arco-íris;3503356;-217.728;-50.466;1
Arealva;3503406;-22.031;-489.135;1
Areias;3503505;-225.786;-446.992;1
Areiópolis;3503604;-226.672;-486.681;1
Ariranha;3503703;-211.872;-487.904;1
Artur Nogueira;3503802;-225.727;-471.727;1
Arujá;3503901;-233.965;-46.32;1
Aspásia;3503950;-20.16;-50.728;1
Assis;3504008;-22.66;-504.183;1
Atibaia;3504107;-231.171;-465.563;1
Auriflama;3504206;-206.836;-505.572;1
Avaí;3504305;-221.514;-493.356;1
Avanhandava;3504404;-214.584;-499.509;1
Avaré;3504503;-231.067;-489.251;1
Bady Bassitt;3504602;-209.197;-494.385;1
Balbinos;3504701;-218.963;-493.619;1
Bálsamo;3504800;-207.348;-495.865;1
Bananal;3504909;-226.819;-443.281;1
